RSI,EMA20,EMA50,MACD,Signal,volume,Target
47.637620670285095,66147.23031286288,65834.3635555318,-25.267036810793797,72.04343850383962,383.38742,0
45.60674287201604,66118.73123544737,65834.8979259031,-43.45251913368702,48.9442469763343,522.72648,0
43.00854893994319,66076.55492730952,65828.66192880887,-70.93479139085684,24.968439302896073,617.37667,1
46.41112920079246,66055.35921994671,65829.6555786595,-77.4491096391721,4.484929514482439,261.11445,0
45.15555680174838,66028.84596090416,65827.5894775356,-87.81515260136803,-13.975086908687656,351.42219,1
45.218336937648886,66005.14634557995,65825.7232235146,-94.69424435122346,-30.11891839719482,228.62751,0
43.365963231859034,65973.70478885806,65819.81290102382,-107.37998011703894,-45.57113074116364,206.37282,1
43.95447877617405,65947.63766610967,65815.11435588563,-114.10173913450852,-59.27725241983263,332.30374,1
49.39345066552316,65946.91026933733,65820.01183212541,-98.92247068227152,-67.20629607232041,549.42502,0
48.63108072329853,65942.82357701949,65823.30548576756,-88.7743547076534,-71.51990779938701,974.93815,0
47.490638103388555,65934.1727601605,65824.43036867864,-83.96082390465017,-74.00809102043965,563.57309,1
48.4913432278911,65930.15630681187,65827.08015814223,-76.04103966976982,-74.41468075030569,473.33682,0
47.144335072842594,65921.21761092503,65827.44172056802,-73.41282080004748,-74.21430876025406,536.04504,0
42.319065690567186,65892.91117178931,65819.46361387908,-87.45267415512353,-76.86198183922795,378.80773,0
40.54048965200546,65859.25296495223,65808.48464862892,-104.19668833182368,-82.3289231377471,697.28548,0
30.51373966439527,65770.37363495678,65773.87819181994,-165.066366808358,-98.87641187186928,992.25057,0
30.295657385044123,65688.37995543708,65739.97865488582,-212.1978087280586,-121.54069124310716,859.97592,0
28.80546907109563,65603.58186444307,65703.03831547854,-255.5957440357597,-148.35170180163766,597.7384,1
29.209599664342136,65528.00359163897,65668.01759722448,-285.7261407123369,-175.82658958377752,641.24645,1
36.65359737827676,65481.610868625736,65643.42396596077,-287.65945844227826,-198.19316335547768,557.73466,1
43.2537556936112,65462.219357328046,65629.09361435447,-266.9804400433204,-211.95061869304624,961.56723,0
39.91877148134713,65427.86037091585,65608.4017079092,-261.8201784481935,-221.9245306440757,799.61288,1
53.99466069968106,65458.730811781,65614.03301348138,-202.89780621898535,-218.11918575905764,1172.17515,1
55.911769647280046,65497.3393058971,65623.84034628604,-145.47728317650763,-203.59080524254765,1421.90632,1
59.77519845444219,65555.1241339069,65642.67327388267,-79.68972485917766,-178.8105891658737,377.59846,0
48.547319075477624,65551.39802591577,65637.70569451472,-74.15098572327406,-157.87866847735376,2242.57142,0
34.24527789186271,65432.39345201903,65585.31919669062,-165.8217629162391,-159.46728736513083,2173.5643,1
36.44586016781663,65337.34264706484,65540.18354191844,-225.18329190883375,-172.61048827387145,504.85432,0
34.77558786230783,65234.52620448723,65489.89281478438,-283.21237255079177,-194.7308651292555,458.08471,1
35.53660551809138,65145.52466120274,65443.23074361637,-322.07968789647566,-220.2006296826995,492.23769,1
39.31643621463682,65084.94136013581,65406.60993014122,-332.15738866136235,-242.5919814784321,289.82054,0
38.83173936832859,65026.18599250383,65369.80208974353,-339.5695201590861,-261.9874892145629,396.7915,1
40.37572539971603,64980.7149455987,65337.60357642025,-335.0670075700182,-276.603392885654,382.95414,1
43.073826487284144,64952.980188875015,65312.18774989397,-316.4922526062801,-284.5811648297792,323.93999,0
37.757661644106086,64889.15540898216,65271.820387153035,-330.7743419924518,-293.8198002623137,548.57792,0
33.39796925068012,64793.37013193624,65217.37292099017,-370.0562713748586,-309.06709448482275,831.20199,1
35.61473031115898,64717.23964318041,65169.39751232389,-387.7935519864404,-324.8123859851463,597.91477,1
37.42801609946685,64656.874915258464,65126.80976674257,-390.13856042016414,-337.87762087214986,767.55142,1
45.34510907972633,64642.928732852895,65102.6384033409,-353.4647230343908,-340.9950413045981,524.85633,0
43.80045369487678,64619.78504400976,65075.08081889616,-329.5199818001347,-338.7000294037054,714.20438,0
41.06875649537081,64579.76075410407,65040.74549266494,-322.9901704992226,-335.55805762280886,300.31875,0
39.46913109880787,64532.03211085606,65003.01468903102,-323.8394616965161,-333.21433843755034,445.57306,0
38.09211883335834,64478.92429077453,64962.67685808863,-329.1274310197914,-332.39695695399854,378.00473,1
45.9574630437879,64469.31912022457,64939.7510989479,-297.31809153210634,-325.3811838696201,417.60478,0
